date, value
1/12/2012,83.388
1/1/2013,83.266
1/2/2013,84.123
1/3/2013,84.521
1/4/2013,83.925
1/5/2013,84.226
1/6/2013,84.877
1/7/2013,85.325
1/8/2013,85.263
1/9/2013,84.862
1/10/2013,83.908
1/11/2013,84.566
1/12/2013,84.746
1/1/2014,85.527
1/2/2014,85.697
1/3/2014,85.621
1/4/2014,85.197
1/5/2014,84.881
1/6/2014,84.958
1/7/2014,84.719
1/8/2014,85.354
1/9/2014,86.482
1/10/2014,87.439
1/11/2014,88.675
1/12/2014,90.461
1/1/2015,91.964
1/2/2015,93.138
1/3/2015,94.832
1/4/2015,93.808
1/5/2015,93.17
1/6/2015,93.959
1/7/2015,95.544
1/8/2015,97.172
1/9/2015,97.66
1/10/2015,96.736
1/11/2015,98.218
1/12/2015,98.991
1/1/2016,101.167
1/2/2016,99.878
1/3/2016,97.876
1/4/2016,96.433
1/5/2016,97.495
1/6/2016,97.926
1/7/2016,98.463
1/8/2016,97.692
1/9/2016,98.367
1/10/2016,99.299
1/11/2016,101.648
1/12/2016,103.33
1/1/2017,103.089
1/2/2017,101.779
1/3/2017,101.08
1/4/2017,100.085
1/5/2017,99.533
1/6/2017,98.229
1/7/2017,96.8
1/8/2017,95.847
1/9/2017,95.101
1/10/2017,96.66
1/11/2017,96.812
1/12/2017,96.468
1/1/2018,94.316
1/2/2018,94.721
1/3/2018,95.005
1/4/2018,94.999
1/5/2018,97.524
1/6/2018,99.022
1/7/2018,99.335
1/8/2018,100.281
1/9/2018,100.262
1/10/2018,100.913
1/11/2018,101.984
1/12/2018,102.003
1/1/2019,100.401
1/2/2019,100.403
1/3/2019,100.772
1/4/2019,100.746
1/5/2019,101.603
1/6/2019,101.134
1/7/2019,100.915
1/8/2019,102.809
1/9/2019,102.766
1/10/2019,102.203
1/11/2019,101.954
1/12/2019,101.464
